,joint,frame,x1,y1,z1,x2,y2,z2,ax1,ay1,az1,ax2,ay2,az2
0,HANDRIGHT,0,0.9,1.5,0.8,0.1,1.8,1.0,,,,,,
1,HANDRIGHT,1,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2,HANDRIGHT,2,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
3,HANDRIGHT,3,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
4,HANDRIGHT,4,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
5,HANDRIGHT,5,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
6,HANDRIGHT,6,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,HANDRIGHT,7,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
8,HANDRIGHT,8,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
9,HANDRIGHT,9,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
10,HANDRIGHT,10,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
11,HANDRIGHT,11,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
12,HANDRIGHT,12,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
13,HANDRIGHT,13,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
14,HANDRIGHT,14,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
15,HANDRIGHT,15,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
16,HANDRIGHT,16,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
17,HANDRIGHT,17,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
18,HANDRIGHT,18,0.9,1.5,0.8,0.1,1.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,HANDRIGHT,19,0.9,1.5,0.8,-0.1,1.5,0.8,0.0,0.0,0.0,-0.2,-0.3,-0.2
20,HANDRIGHT,20,0.9,1.5,0.8,0.0,1.5,0.9,0.0,0.0,0.0,0.1,0.0,0.1
21,HANDRIGHT,21,0.9,1.5,0.8,0.1,1.5,1.0,0.0,0.0,0.0,0.1,0.0,0.1
22,HANDRIGHT,22,0.9,1.5,0.8,0.1,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
23,HANDRIGHT,23,0.9,1.5,0.8,0.2,1.5,1.0,0.0,0.0,0.0,0.1,0.0,0.0
24,HANDRIGHT,24,0.9,1.5,0.8,0.2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
25,HANDRIGHT,25,0.9,1.5,0.8,0.2,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
26,HANDRIGHT,26,0.9,1.5,0.8,0.3,1.5,1.0,0.0,0.0,0.0,0.1,0.0,0.0
27,HANDRIGHT,27,0.9,1.5,0.8,0.3,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
28,HANDRIGHT,28,0.9,1.5,0.8,0.3,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
29,HANDRIGHT,29,1.0,1.5,0.8,0.3,1.5,1.0,0.1,0.0,0.0,0.0,0.0,0.0
30,HANDRIGHT,30,1.0,1.5,0.8,0.3,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0
